label,field_name,section,max_count,required,accepted_values,example,definition
Flash point (°C)?,flash_point,Compliance,1,Optional,A number with up to 10 digits allowed to the left of the decimal point and 2 digits to the right of the decimal point. Please do not use commas.,180,"Commonly found in Safety Data Sheet or provided by manufacturer. For more information, refer to the help pages."
Certification Date of Issue,legal_compliance_certification_date_of_issue,Compliance,1,Optional,Provide the certification date of issue using YYYY-MM-DD format,7/20/2017,
Compliance Certification Value,legal_compliance_certification_metadata,Compliance,1,Optional,"Provide the required certification information to indicate compliance, such as an EO Number or judgement order. If you do not have one or are Exempt, please submit NA","d-759-1, Not Applicable",
legal_compliance_certification_expiration_date,legal_compliance_certification_expiration_date,Compliance,1,Optional,,,
Regulatory Organization Name,legal_compliance_certification_regulatory_organization_name,Compliance,1,Optional,Select the applicable authority governing the regulation/restriction,California Environmental Protection Agency - Air Resources Board,
Compliance Media Content Type,compliance_media_content_type,Compliance,17,,,,
Warranty Description,warranty_description,Compliance,1,Optional,Provide a description of the product's warranty,2 year manufacturer,
Has Less than 30 Percent State of Charge,has_less_than_30_percent_state_of_charge,Compliance,1,Preferred,Provide whether the item's battery contains less than 30 percent charge during shipping.,Yes,
Compliance Media Source Location,compliance_media_source_location,Compliance,17,,,,
Legal Compliance Certification,legal_compliance_certification_value,Compliance,1,Optional,Insert the legal compliance certification,820101002,Insert the legal compliance certification
Compliance Media Language,compliance_media_content_language,Compliance,17,,,,
GHS Class,ghs_classification_class,Compliance,3,,,,
California Proposition 65 Warning Type,california_proposition_65_compliance_type,Compliance,1,Optional,"Select the warning type applicable to your product, if any. You certify that the warning provided satisfies legal requirements and that you’ll remove a warning previously provided only if it is no longer legally required.",Furniture,This attribute captures information needed from suppliers which is used to display applicable California Proposition 65 warnings on the detail page
California Proposition 65 Chemical Name(s),california_proposition_65_chemical_names,Compliance,5,,,,
Pesticide Marking,pesticide_marking_type,Compliance,3,,,,
Pesticide Registration Status,pesticide_marking_registration_status,Compliance,3,,,,
Pesticide Certification Number,pesticide_marking_certification_number,Compliance,3,,,,
Radio Frequency Emission & Authorization Status,fcc_radio_frequency_emission_compliance_registration_status,Compliance,1,Optional,"Indicate whether this product is capable of emitting radio frequency energy, and if so, what type of FCC RF equipment authorization this product has.",,
